id,sdg_region,country,ISO3,year,income_group,GDPpercap,population_1000,rural_safelymanaged,rural_basic,rural_limited,rural_unimproved,rural_surfacewater,urban_safelymanaged,urban_basic,urban_limited,urban_unimproved,urban_surfacewater,national_safelymanaged,national_basic,national_limited,national_unimproved,national_surfacewater,rural_piped,rural_nonpiped,urban_piped,urban_nonpiped,national_piped,national_nonpiped
1,Central and Southern Asia,Afghanistan,AFG,2000,Low income,NA,19542.982,8.2074916597905183,19.74517818796625,3.1343524509566731,47.091285102073932,30.029184259003159,21.278578637270201,54.606477769479689,3.881026253234658,32.440917411273858,9.0715785660117945,11.09332630914356,27.441856094126191,3.2992030877630789,43.856776997326868,25.402163820783858,<1,22.879530638922919,19.063288753485718,39.424215269228633,4.2087930286031554,26.532266153286109
2,Central and Southern Asia,Afghanistan,AFG,2001,Low income,NA,19688.632,8.2074916597905165,19.745178187966239,3.1343524509566731,47.091285102073932,30.029184259003159,21.278578637270201,54.606477769479689,3.881026253234658,32.440917411273858,9.0715785660117945,11.10522114740608,27.473580231833878,3.2998826223921029,43.843444127296713,25.383093018477311,<1,22.879530638922919,19.063288753485718,39.424215269228633,4.2261406010514344,26.547322253174549
3,Central and Southern Asia,Afghanistan,AFG,2002,Low income,182.17403661743839,21000.256,9.1372282558820928,21.981892584843251,3.4894088189065009,45.528726634739087,28.999971961511161,22.03200103612247,56.53995952008372,4.0184438956235704,30.846839185647919,8.5947573986447878,12.00773317343539,29.67486273151092,3.6071772055562752,42.260393502985373,24.457566559947431,<1,25.471301403749749,20.168761111191539,40.389642304515753,4.4897676334615868,28.792272303605611
4,Central and Southern Asia,Afghanistan,AFG,2003,Low income,199.64322789583429,22645.13,10.066964851973671,24.218606981720249,3.8444651868563331,43.966168167404248,27.97075966401917,22.78542343497508,58.473441270688603,4.1558615380125374,29.252760960020961,8.1179362312778949,12.90992152526657,31.875589161066941,3.914071507878746,40.677281873538753,23.533057457515572,<1,27.250461327408861,21.274233468897819,41.355069339803322,5.3863971571316434,30.403263511814039
5,Central and Southern Asia,Afghanistan,AFG,2004,Low income,221.83053072030711,23553.551,10.996701448065251,26.455321378597251,4.1995215548061609,42.40360970006941,26.941547366527171,23.538845833827349,60.406923021292627,4.2932791804014494,27.658682734395029,7.6411150639108882,13.818683754521359,34.094431290788911,4.2206169809780354,39.086001759656597,22.598949968576459,1.642296465561458,29.012546467841961,22.37970582660364,42.320496375090443,6.3082134272292389,32.0068348445377
6,Central and Southern Asia,Afghanistan,AFG,2005,Low income,254.11527430556112,24411.191,11.92643804415682,28.69203577547426,4.5545779227559926,40.841051232734571,25.91233506903518,24.292268232679959,62.340404771897518,4.4306968227904164,26.06460450876807,7.1642938965439953,14.733852939883009,36.331226124457388,4.5264533632197184,37.486352328122727,21.655968184200169,2.471982089955191,30.774631608275062,23.485178184309461,43.285923410378473,7.2426081425011422,33.615071345175963
7,Central and Southern Asia,Afghanistan,AFG,2006,Low income,274.01539432265281,25442.944,12.856174640248399,30.928750172351261,4.9096342907058208,39.278492765399733,24.883122771543189,25.045690631532231,64.273886522501542,4.5681144651793346,24.470526283142139,6.6874727291769887,15.648426582576359,38.567119333918527,4.8314022251947373,35.88643360911928,20.71504483176745,3.3016677143486959,32.536716748708393,24.590650542015279,44.251350445665587,8.1783346444576637,35.220186914655613
8,Central and Southern Asia,Afghanistan,AFG,2007,Low income,376.31829644154283,25903.301,13.785911236339979,33.456335455601533,4.9738197722823898,37.715934298064887,23.85391047405119,25.799113030384831,66.45653907505546,4.4563613056192679,22.87644805751518,6.2106515618100957,16.562523115613441,41.083673896092243,4.8542197361350334,34.286081841651168,19.776024526121549,4.1313533387424286,34.298801889141487,25.6961228997211,45.216777480953617,9.1156189090677717,36.822274723159502
9,Central and Southern Asia,Afghanistan,AFG,2008,Low income,382.53380381541456,26427.199,14.71564783243188,36.023154026106809,4.9987719666048491,36.153375830729154,22.824698176559199,26.552535429237441,68.653744908034724,4.3300548656338549,21.282369831888332,5.7338303944430891,17.47601039001685,43.632608718223317,4.8428272737336044,32.685455553415949,18.83910845462713,4.961038963135934,36.060887029575717,26.80159525742738,46.1822045162412,10.054256779978321,38.421179211978597
10,Central and Southern Asia,Afghanistan,AFG,2009,Low income,453.38738207525847,27385.307,15.64538442852345,38.629205883865687,4.9844908736728044,34.590817363394308,21.795485879067201,27.30595782808971,70.865504021438426,4.1891951452230964,19.6882916062624,5.2570092270760824,18.388884339813441,46.213762645909107,4.7973737094024127,31.08455063152984,17.904313013158639,5.7907245875296667,37.822972170008818,27.907067615133201,47.14763155152832,10.994258045466729,40.016878309844792
