id,region,country,ISO3,year,levels_income,GDPpercap,country_population_1000,urban_percentage,residence,levels_waterservice,method_waterservice,served_percentage,served_population_1000
1,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,rural,safely managed,NA,NA,NA
2,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,rural,basic,NA,NA,NA
3,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,rural,limited,NA,NA,NA
4,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,rural,unimproved,NA,NA,NA
5,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,rural,surface water,NA,NA,NA
6,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,urban,safely managed,NA,NA,NA
7,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,urban,basic,NA,NA,NA
8,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,urban,limited,NA,NA,NA
9,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,urban,unimproved,NA,NA,NA
10,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,urban,surface water,NA,NA,NA
11,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,national,safely managed,NA,NA,NA
12,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,national,basic,NA,99,330.58673999999996
13,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,national,limited,NA,NA,NA
14,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,national,unimproved,NA,1,3.33926
15,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,national,surface water,NA,1,3.33926
16,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,rural,improved,piped,NA,NA
17,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,rural,improved,non-piped,NA,NA
18,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,urban,improved,piped,NA,NA
19,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,urban,improved,non-piped,NA,NA
20,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,national,improved,piped,99,330.58673999999996
21,ASEAN,Brunei Darussalam,BRN,2000,High income,17971.892287759205,333.926,71.16400146484375,national,improved,non-piped,1,3.33926
22,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,rural,safely managed,NA,NA,NA
23,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,rural,basic,NA,NA,NA
24,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,rural,limited,NA,NA,NA
25,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,rural,unimproved,NA,NA,NA
26,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,rural,surface water,NA,NA,NA
27,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,urban,safely managed,NA,NA,NA
28,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,urban,basic,NA,NA,NA
29,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,urban,limited,NA,NA,NA
30,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,urban,unimproved,NA,NA,NA
31,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,urban,surface water,NA,NA,NA
32,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,national,safely managed,NA,NA,NA
33,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,national,basic,NA,99,337.34051999999997
34,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,national,limited,NA,NA,NA
35,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,national,unimproved,NA,1,3.40748
36,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,national,surface water,NA,1,3.40748
37,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,rural,improved,piped,NA,NA
38,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,rural,improved,non-piped,NA,NA
39,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,urban,improved,piped,NA,NA
40,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,urban,improved,non-piped,NA,NA
41,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,national,improved,piped,99,337.34051999999997
42,ASEAN,Brunei Darussalam,BRN,2001,High income,16437.422036959106,340.748,71.6520004272461,national,improved,non-piped,1,3.40748
43,ASEAN,Brunei Darussalam,BRN,2002,High income,16817.23886530051,347.463,72.0459976196289,rural,safely managed,NA,NA,NA
44,ASEAN,Brunei Darussalam,BRN,2002,High income,16817.23886530051,347.463,72.0459976196289,rural,basic,NA,NA,NA
45,ASEAN,Brunei Darussalam,BRN,2002,High income,16817.23886530051,347.463,72.0459976196289,rural,limited,NA,NA,NA
46,ASEAN,Brunei Darussalam,BRN,2002,High income,16817.23886530051,347.463,72.0459976196289,rural,unimproved,NA,NA,NA
47,ASEAN,Brunei Darussalam,BRN,2002,High income,16817.23886530051,347.463,72.0459976196289,rural,surface water,NA,NA,NA
48,ASEAN,Brunei Darussalam,BRN,2002,High income,16817.23886530051,347.463,72.0459976196289,urban,safely managed,NA,NA,NA
49,ASEAN,Brunei Darussalam,BRN,2002,High income,16817.23886530051,347.463,72.0459976196289,urban,basic,NA,NA,NA
